ral_id|query_id|source|sink
0|1789947287|900000087|1
0|1789947287|1|900000088
0|1789947287|900000088|0
0|1789947287|0|900000089
0|1789947287|900000089|3
0|1881180230|2|900000090
0|1881180230|900000090|1
0|1881180230|1|900000091
0|1881180230|900000091|0
0|1881180230|0|900000092
0|1881180230|900000092|3
0|897855442|2|900000093
0|897855442|900000093|1
0|897855442|1|900000094
0|897855442|900000094|0
0|897855442|0|900000095
0|897855442|900000095|3
0|451130979|2|900000096
0|451130979|900000096|1
0|451130979|1|900000097
0|451130979|900000097|0
0|451130979|0|900000098
0|451130979|900000098|3
0|1422094015|2|900000099
0|1422094015|900000099|1
0|1422094015|1|900000100
0|1422094015|900000100|0
0|1422094015|0|900000101
0|1422094015|900000101|3
0|2008573414|2|900000102
0|2008573414|900000102|1
0|2008573414|1|900000103
0|2008573414|900000103|0
0|2008573414|0|900000104
0|2008573414|900000104|3
0|91382213|2|900000105
0|91382213|900000105|1
0|91382213|1|900000106
0|91382213|900000106|0
0|91382213|0|900000107
0|91382213|900000107|3
0|2104317678|2|900000108
0|2104317678|900000108|1
0|2104317678|1|900000109
0|2104317678|900000109|0
0|2104317678|0|900000110
0|2104317678|900000110|3
0|369205808|2|900000111
0|369205808|900000111|1
0|369205808|1|900000112
0|369205808|900000112|0
0|369205808|0|900000113
0|369205808|900000113|3
0|1309546376|2|900000114
0|1309546376|900000114|1
0|1309546376|1|900000115
0|1309546376|900000115|0
0|1309546376|0|900000116
0|1309546376|900000116|3
0|1679682461|2|900000117
0|1679682461|900000117|1
0|1679682461|1|900000118
0|1679682461|900000118|0
0|1679682461|0|900000119
0|1679682461|900000119|3
0|1058545297|2|900000120
0|1058545297|900000120|1
0|1058545297|1|900000121
0|1058545297|900000121|0
0|1058545297|0|900000122
0|1058545297|900000122|3
0|952192214|2|900000123
0|952192214|900000123|1
0|952192214|1|900000124
0|952192214|900000124|0
0|952192214|0|900000125
0|952192214|900000125|3
0|12987316|2|900000126
0|12987316|900000126|1
0|12987316|1|900000127
0|12987316|900000127|0
0|12987316|0|900000128
0|12987316|900000128|3
0|852047981|1|900000000
0|852047981|900000000|0
0|852047981|0|900000001
0|852047981|900000001|2
0|1305941014|3|900000002
0|1305941014|900000002|2
0|1305941014|2|900000003
0|1305941014|900000003|1
0|1305941014|1|900000004
0|1305941014|900000004|0
0|1305941014|0|900000005
0|1305941014|900000005|4
0|2028514878|1|900000006
0|2028514878|900000006|0
0|2028514878|0|900000007
0|2028514878|900000007|2
0|1188424914|3|900000008
0|1188424914|900000008|2
0|1188424914|2|900000009
0|1188424914|900000009|1
0|1188424914|1|900000010
0|1188424914|900000010|0
0|1188424914|0|900000011
0|1188424914|900000011|4
0|1428847728|1|900000000
0|1428847728|900000000|0
0|1428847728|0|900000001
0|1428847728|900000001|2
0|1630856498|3|900000002
0|1630856498|900000002|2
0|1630856498|2|900000003
0|1630856498|900000003|1
0|1630856498|1|900000004
0|1630856498|900000004|0
0|1630856498|0|900000005
0|1630856498|900000005|4
0|1359779851|1|900000006
0|1359779851|900000006|0
0|1359779851|0|900000007
0|1359779851|900000007|2
0|169223086|3|900000008
0|169223086|900000008|2
0|169223086|2|900000009
0|169223086|900000009|1
0|169223086|1|900000010
0|169223086|900000010|0
0|169223086|0|900000011
0|169223086|900000011|4
0|2120341879|1|900000012
0|2120341879|900000012|0
0|2120341879|0|900000013
0|2120341879|900000013|2
0|815895617|1|900000014
0|815895617|900000014|0
0|815895617|0|900000015
0|815895617|900000015|2
0|921915610|6|900000016
0|921915610|900000016|5
0|921915610|5|900000017
0|921915610|900000017|4
0|921915610|4|900000018
0|921915610|900000018|3
0|921915610|3|900000019
0|921915610|900000019|2
0|921915610|3|900000020
0|921915610|900000020|2
0|921915610|2|900000021
0|921915610|900000021|1
0|921915610|2|900000022
0|921915610|900000022|1
0|921915610|2|900000023
0|921915610|900000023|1
0|921915610|2|900000024
0|921915610|900000024|1
0|921915610|2|900000025
0|921915610|900000025|1
0|921915610|2|900000026
0|921915610|900000026|1
0|921915610|2|900000027
0|921915610|900000027|1
0|921915610|2|900000028
0|921915610|900000028|1
0|921915610|1|900000029
0|921915610|900000029|0
0|921915610|0|900000030
0|921915610|900000030|7
0|1292646456|2|900000031
0|1292646456|900000031|1
0|1292646456|1|900000032
0|1292646456|900000032|0
0|1292646456|0|900000033
0|1292646456|900000033|3
0|921155078|2|900000034
0|921155078|900000034|1
0|921155078|1|900000035
0|921155078|900000035|0
0|921155078|0|900000036
0|921155078|900000036|3
0|1362940680|2|900000037
0|1362940680|900000037|1
0|1362940680|1|900000038
0|1362940680|900000038|0
0|1362940680|0|900000039
0|1362940680|900000039|3
0|1109488509|2|900000040
0|1109488509|900000040|1
0|1109488509|1|900000041
0|1109488509|900000041|0
0|1109488509|0|900000042
0|1109488509|900000042|3
0|526059058|2|900000043
0|526059058|900000043|1
0|526059058|1|900000044
0|526059058|900000044|0
0|526059058|0|900000045
0|526059058|900000045|3
0|830992291|2|900000046
0|830992291|900000046|1
0|830992291|1|900000047
0|830992291|900000047|0
0|830992291|0|900000048
0|830992291|900000048|3
0|782611158|2|900000049
0|782611158|900000049|1
0|782611158|1|900000050
0|782611158|900000050|0
0|782611158|0|900000051
0|782611158|900000051|3
0|688844239|2|900000052
0|688844239|900000052|1
0|688844239|1|900000053
0|688844239|900000053|0
0|688844239|0|900000054
0|688844239|900000054|3
0|166437419|2|900000000
0|166437419|900000000|1
0|166437419|1|900000001
0|166437419|900000001|0
0|166437419|0|900000002
0|166437419|900000002|3
0|2058660857|3|900000000
0|2058660857|900000000|2
0|2058660857|2|900000001
0|2058660857|900000001|1
0|2058660857|1|900000002
0|2058660857|900000002|0
0|2058660857|0|900000003
0|2058660857|900000003|4
0|166734891|3|900000000
0|166734891|900000000|2
0|166734891|2|900000001
0|166734891|900000001|1
0|166734891|1|900000002
0|166734891|900000002|0
0|166734891|0|900000003
0|166734891|900000003|4
0|508138044|3|900000004
0|508138044|900000004|2
0|508138044|2|900000005
0|508138044|900000005|1
0|508138044|1|900000006
0|508138044|900000006|0
0|508138044|0|900000007
0|508138044|900000007|4
0|2130870188|3|900000008
0|2130870188|900000008|2
0|2130870188|2|900000009
0|2130870188|900000009|1
0|2130870188|1|900000010
0|2130870188|900000010|0
0|2130870188|0|900000011
0|2130870188|900000011|4
0|1723228937|3|900000012
0|1723228937|900000012|2
0|1723228937|2|900000013
0|1723228937|900000013|1
0|1723228937|1|900000014
0|1723228937|900000014|0
0|1723228937|0|900000015
0|1723228937|900000015|4
0|638712515|3|900000016
0|638712515|900000016|2
0|638712515|2|900000017
0|638712515|900000017|1
0|638712515|1|900000018
0|638712515|900000018|0
0|638712515|0|900000019
0|638712515|900000019|4
0|66226812|3|900000020
0|66226812|900000020|2
0|66226812|2|900000021
0|66226812|900000021|1
0|66226812|1|900000022
0|66226812|900000022|0
0|66226812|0|900000023
0|66226812|900000023|4
0|1811026928|3|900000024
0|1811026928|900000024|2
0|1811026928|2|900000025
0|1811026928|900000025|1
0|1811026928|1|900000026
0|1811026928|900000026|0
