ral_id|query_id|kernel_id|input_num_rows|input_num_bytes|output_num_rows|output_num_bytes|event_type|timestamp_begin|timestamp_end
0|1894910819|1|2|184|1|184|compute|1599718299297|1599718299298
0|1894910819|0|1|184|1|200|compute|1599718299298|1599718299318
0|1539198683|4|93944|7387460|93944|7387460|compute|1599718524782|1599718524782
0|1539198683|3|93944|7387460|93938|7762768|compute|1599718524824|1599718524826
0|1539198683|2|93938|7762768|93938|8138520|compute|1599718524827|1599718524830
0|1539198683|1|93938|8138520|93933|8138110|compute|1599718524830|1599718524836
0|1539198683|0|93933|8138110|93933|7386646|compute|1599718524836|1599718524838
0|1172948585|4|93944|7387460|93944|7387460|compute|1599718539538|1599718539538
0|1172948585|3|93944|7387460|93938|7762768|compute|1599718539539|1599718539542
0|1172948585|2|93938|7762768|93938|8138520|compute|1599718539542|1599718539546
0|1172948585|1|93938|8138520|5|414|compute|1599718539546|1599718539550
0|1172948585|0|5|414|5|374|compute|1599718539551|1599718539552
0|330435434|2|93944|160780685|93944|160780685|compute|1599718659742|1599718659742
0|330435434|7|93944|7387460|93944|7387460|compute|1599718659742|1599718659742
0|330435434|6|93944|7387460|93938|7762768|compute|1599718659782|1599718659787
0|330435434|5|93938|7762768|93938|8138520|compute|1599718659788|1599718659792
0|330435434|4|93938|8138520|5|414|compute|1599718659793|1599718659831
0|330435434|3|5|414|5|374|compute|1599718659832|1599718659834
0|330435434|1|93949|160781059|11|22247|compute|1599718659837|1599718659841
0|330435434|0|11|22247|11|21429|compute|1599718659842|1599718659866
0|1320975930|6|93944|160780685|93944|160780685|compute|1599718681519|1599718681519
0|1320975930|11|93944|7387460|93944|7387460|compute|1599718681519|1599718681519
0|1320975930|10|93944|7387460|93938|7762768|compute|1599718681563|1599718681569
0|1320975930|9|93938|7762768|93938|8138520|compute|1599718681569|1599718681574
0|1320975930|8|93938|8138520|5|414|compute|1599718681574|1599718681614
0|1320975930|7|5|414|5|374|compute|1599718681614|1599718681617
0|1320975930|5|93949|160781059|11|22247|compute|1599718681620|1599718681623
0|1320975930|4|11|22247|11|21429|compute|1599718681624|1599718681648
0|1320975930|3|11|21429|11|21429|compute|1599718681648|1599718681652
0|781724199|6|93944|160780685|93944|160780685|compute|1599719219013|1599719219013
0|781724199|11|93944|7387460|93944|7387460|compute|1599719219014|1599719219014
0|781724199|10|93944|7387460|93938|7762768|compute|1599719219054|1599719219059
